seq_len,n_head,impl,ms
64,1,torch,0.4145343959331512
64,1,naive,1.354905605316162
64,1,flash,4.699840068817139
64,1,naive_unified,4.591763114929199
64,1,flash_unified,7.798099136352539
64,2,torch,0.7531967878341674
64,2,naive,2.6314303874969482
64,2,flash,5.439558410644532
64,2,naive_unified,6.902611160278321
64,2,flash_unified,9.269997024536133
64,4,torch,0.828441607952118
64,4,naive,4.885791969299317
64,4,flash,8.546361541748047
64,4,naive_unified,9.681856155395508
64,4,flash_unified,12.93130874633789
128,1,torch,0.7414528012275696
128,1,naive,4.812262344360351
128,1,flash,8.6381441116333
128,1,naive_unified,5.466630363464356
128,1,flash_unified,16.701766586303712
128,2,torch,0.763097608089447
128,2,naive,6.539455986022949
128,2,flash,7.785414409637451
128,2,naive_unified,8.331878471374512
128,2,flash_unified,14.454284858703613
128,4,torch,0.8285632014274598
128,4,naive,8.586636829376221
128,4,flash,12.278367805480958
128,4,naive_unified,14.132742500305175
128,4,flash_unified,18.8857723236084
256,1,torch,0.771782386302948
256,1,naive,8.153260803222656
256,1,flash,26.368793487548828
256,1,naive_unified,11.909887886047363
256,1,flash_unified,29.99228172302246
256,2,torch,0.9409792065620423
256,2,naive,14.017849731445313
256,2,flash,31.45667839050293
256,2,naive_unified,20.55134735107422
256,2,flash_unified,36.08810806274414
256,4,torch,1.6154304027557373
256,4,naive,28.320646286010742
256,4,flash,47.588192749023435
256,4,naive_unified,38.617523193359375
256,4,flash_unified,54.46332778930664
512,1,torch,1.6071104288101197
512,1,naive,27.7217155456543
512,1,flash,105.90426788330078
512,1,naive_unified,35.62706451416015
512,1,flash_unified,111.05178833007812
512,2,torch,2.983526420593262
512,2,naive,56.32750701904297
512,2,flash,119.8607162475586
512,2,naive_unified,70.18796844482422
512,2,flash_unified,125.33363189697266
512,4,torch,5.66694393157959
512,4,naive,114.56292572021485
512,4,flash,187.47608032226563
512,4,naive_unified,138.14188537597656
512,4,flash_unified,197.6256317138672
1024,1,torch,5.639148712158203
1024,1,naive,112.96186981201171
1024,1,flash,422.44341430664065
1024,1,naive_unified,130.7138214111328
1024,1,flash_unified,429.17286987304686
1024,2,torch,10.9714111328125
1024,2,naive,225.6717102050781
1024,2,flash,476.0182373046875
1024,2,naive_unified,263.03318786621094
1024,2,flash_unified,483.6521362304687
1024,4,torch,21.69109764099121
1024,4,naive,449.6335876464844
1024,4,flash,751.086328125
1024,4,naive_unified,517.5688659667969
1024,4,flash_unified,767.17861328125
